country,osm_id,city,lat,lon
Morocco,401232144,Figuig ⵉⴼⵉⵢⵢⵉⵢ فگيگ,32.115048,-1.230396
Morocco,406192860,Er Rachidia ⵉⵎⵜⵖⴻⵔⵏ الرشيدية,31.929089,-4.4340807
Morocco,414081770,Salé ⵙⵍⴰ سلا,34.044889,-6.814017
Morocco,421432226,Tétouan ⵜⵉⵟⵟⴰⵡⵉⵏ تطوان,35.570175,-5.3742776
Morocco,508040941,Marrakech ⵎⵕⵕⴰⴽⵛ مراكش,31.6258257,-7.9891608
Morocco,569755163,Esmara ⵙⵎⴰⵔⴰ السمارة,26.7435827,-11.6645492
Morocco,583022208,Larache ⵍⵄⵔⴰⵢⵛ العرائش,35.1952327,-6.152913
Morocco,624269194,Khénifra ⵅⵏⵉⴼⵕⴰ خنيفرة,32.9357718,-5.6696504
Morocco,1039966988,Sebt Gzoula ⵙⴰⴱⵜ ⴳⴰⵣⵓⵍⴰ سبت گزولة,32.108297,-9.084263
Morocco,1052247758,Sidi Kacem ⵙⵉⴷⵉ ⵇⴰⵙⴰⵎ سيدي قاسم,34.226412,-5.711434
Morocco,1052364362,Ksar-el-Kebir ⵍⵇⵚⵔ ⵍⴽⴱⵉⵔ القصر الكبير,34.999218,-5.898724
Morocco,1156264376,Settat ⵥⵟⵟⴰⵟ سطات,33.002397,-7.619867
Morocco,1210857280,Ben Guerir ⴱⴰⵏⴳⵔⵉⵔ بن گرير,32.239034,-7.958131
Morocco,1274095863,Beni Mellal ⴰⵢⵜ ⵎⵍⵍⴰⵍ بني ملال,32.334193,-6.353335
Morocco,1339097697,Berrechid ⴱⴰⵔⵛⵉⴷ برشيد,33.2676746,-7.5811465
Morocco,1686960487,Assilah ⴰⵚⵉⵍⴰ أصيلة,35.461928,-6.036545
Morocco,1863747049,Kénitra ⵇⵏⵉⵟⵔⴰ القنيطرة,34.26457,-6.570169
Morocco,1863747052,Tanger ⵟⴰⵏⵊⴰ طنجة,35.777103,-5.803792
Morocco,1864970021,Sidi Slimane ⵙⵉⴷⵉ ⵙⵍⵉⵎⴰⵏ سيدي سليمان,34.259878,-5.927253
Morocco,1865094126,Khouribga ⵅⵯⵔⵉⴱⴳⴰ خريبكة,32.885508,-6.909238
Morocco,1865117987,Oued Zem ⵡⴰⴷ ⵣⴰⵎ واد زم,32.862504,-6.571054
Morocco,1888261495,Laâyoune ⵍⵄⵢⵓⵏ العيون,27.154512,-13.1953921
Morocco,1954988722,Témara ⵜⵎⴰⵔⴰ تمارة,33.917166,-6.923804
Morocco,2090045902,Boujdour ⴱⵓⵊⴷⵓⵔ بوجدور,26.1263378,-14.4836537
Morocco,2622712708,Mohammédia ⵎⵓⵃⴰⵎⴰⴷⵉⵢⴰ المحمدية,33.6958383,-7.3893292
Morocco,2684455807,Taourirt ⵜⴰⵡⵔⵉⵔⵜ تاوريرت,34.413438,-2.893825
Tunisia,27564968,تونس,36.800108,10.184794
Tunisia,287001619,صفاقس,34.739739,10.7598516
Tunisia,287543373,سوسة,35.828829,10.640525
Tunisia,287543904,القيروان‎,35.6775263,10.1006205
Tunisia,287544603,قابس,33.8833922,10.0971389
Tunisia,287544816,بنزرت,37.2732415,9.8713665
Tunisia,287550909,بن عروس,36.756635,10.220146
Tunisia,287553320,المنستير,35.7709638,10.8272336
Tunisia,287554239,أريانة,36.859939,10.190973
Tunisia,287621836,المهدية,35.503884,11.056042
Tunisia,1136727225,قرطاج,36.851627,10.330441
Tunisia,2573224812,المدينة الجديدة,36.7427438,10.2507204
Western Sahara,348237703,Dakhla ⴷⴰⵅⵍⴰ الداخلة,23.6940663,-15.9431274
Western Sahara,569755163,Esmara ⵙⵎⴰⵔⴰ السمارة,26.7435827,-11.6645492
Western Sahara,1888261495,Laâyoune ⵍⵄⵢⵓⵏ العيون,27.154512,-13.1953921
Western Sahara,2090045902,Boujdour ⴱⵓⵊⴷⵓⵔ بوجدور,26.1263378,-14.4836537
Burundi,60715062,Bujumbura,-3.3638125,29.3675028
Burundi,301351574,Gitega,-3.4284953,29.9249718
Burundi,301399969,Kirundo,-2.5853872,30.0933449
Burundi,498665827,Makamba,-4.1347916,29.8046322
Burundi,498671062,Rutana,-3.9263608,29.990574
Burundi,498675511,Bururi,-3.9453227,29.6192469
Burundi,498680416,Ngozi,-2.909091,29.8230442
Burundi,498680729,Kayanza,-2.9297133,29.6321188
Burundi,498681136,Karuzi,-3.1011687,30.1647524
Burundi,498681309,Muyinga,-2.8453256,30.3393883
Burundi,498681622,Cibitoke,-2.8919231,29.1244074
Burundi,498681772,Bubanza,-3.0845915,29.3948368
Burundi,498682112,Cankuzo,-3.2204922,30.5495774
Burundi,498682265,Ruyigi,-3.4733471,30.2501278
Burundi,498856704,Muramvya,-3.2663248,29.6167289
Burundi,1343439979,Mwaro,-3.5116676,29.7050017
Burundi,1345876693,Rumonge,-3.9745473,29.439294
Comoros,339324562,Moroni موروني,-11.6931255,43.2543044
Comoros,1295700465,Mutsamudu موتسامودو,-12.168846,44.3942831
Djibouti,27565085,Djibouti جيبوتي,11.5936903,43.1472724
Eritrea,317162067,ከረን كرن Keren,15.780477,38.453606
Eritrea,321263589,Assab عصب,13.0091289,42.7444596
Eritrea,5621920820,أسمرة አስመራ Asmara,15.3389667,38.9326763
Ethiopia,27565076,አዲስ አበባ / Addis Ababa,9.0107934,38.7612525
Ethiopia,71556493,ጎንደር / Gonder,12.610368,37.466766
Ethiopia,71612929,ባሕር-ዳር / Bahir Dar,11.5904154,37.3884007
Ethiopia,237498687,ኣዳማ / Adama,8.5410261,39.2705461
Ethiopia,253440282,አርባ ምንጭ / Arba Minch,6.0215142,37.5539809
Ethiopia,266775102,አምቦ / Ambo,8.982104,37.8554406
Ethiopia,281666535,ደሴ / Dessie,11.122604,39.634982
Ethiopia,298290931,ጂጂጋ / Jijiga,9.3513554,42.7981633
