Country,City,Id,lat,lon
Tunisia,المدينة الجديدة,2573224812,36.7427438,10.2507204
Western Sahara,Dakhla ⴷⴰⵅⵍⴰ الداخلة,348237703,23.6940663,-15.9431274
Western Sahara,Esmara ⵙⵎⴰⵔⴰ السمارة,569755163,26.7435827,-11.6645492
Western Sahara,Laâyoune ⵍⵄⵢⵓⵏ العيون,1888261495,27.154512,-13.1953921
Western Sahara,Boujdour ⴱⵓⵊⴷⵓⵔ بوجدور,2090045902,26.1263378,-14.4836537
Burundi,Bujumbura,60715062,-3.3638125,29.3675028
Burundi,Gitega,301351574,-3.4284953,29.9249718
Burundi,Kirundo,301399969,-2.5853872,30.0933449
Burundi,Makamba,498665827,-4.1347916,29.8046322
Burundi,Rutana,498671062,-3.9263608,29.990574
Burundi,Bururi,498675511,-3.9453227,29.6192469
Burundi,Ngozi,498680416,-2.909091,29.8230442
Burundi,Kayanza,498680729,-2.9297133,29.6321188
Burundi,Karuzi,498681136,-3.1011687,30.1647524
Burundi,Muyinga,498681309,-2.8453256,30.3393883
Burundi,Cibitoke,498681622,-2.8919231,29.1244074
Burundi,Bubanza,498681772,-3.0845915,29.3948368
Burundi,Cankuzo,498682112,-3.2204922,30.5495774
Burundi,Ruyigi,498682265,-3.4733471,30.2501278
Burundi,Muramvya,498856704,-3.2663248,29.6167289
Burundi,Mwaro,1343439979,-3.5116676,29.7050017
Burundi,Rumonge,1345876693,-3.9745473,29.439294
Comoros,Moroni موروني,339324562,-11.6931255,43.2543044
Comoros,Mutsamudu موتسامودو,1295700465,-12.168846,44.3942831
Djibouti,Djibouti جيبوتي,27565085,11.593665,43.14724
Eritrea,ከረን كرن Keren,317162067,15.780477,38.453606
Eritrea,Assab عصب,321263589,13.0091289,42.7444596
Eritrea,أسمرة አስመራ Asmara,5621920820,15.3389667,38.9326763
Ethiopia,አዲስ አበባ / Addis Ababa,27565076,9.0107934,38.7612525
Ethiopia,ጎንደር / Gonder,71556493,12.610368,37.466766
Ethiopia,ባሕር-ዳር / Bahir Dar,71612929,11.5904154,37.3884007
Ethiopia,ኣዳማ / Adama,237498687,8.5410261,39.2705461
Ethiopia,አርባ ምንጭ / Arba Minch,253440282,6.0215142,37.5539809
Ethiopia,አምቦ / Ambo,266775102,8.982104,37.8554406
Ethiopia,ደሴ / Dessie,281666535,11.122604,39.634982
Ethiopia,ጂጂጋ / Jijiga,298290931,9.3513554,42.7981633
Ethiopia,መቐለ / Mekelle,298296162,13.5011216,39.4757557
Ethiopia,ነቀምት / Nekemte,298296163,9.0879679,36.5473097
Ethiopia,ሶዶ / Sodo,298296164,6.864163,37.762762
Ethiopia,ሻሸመኔ / Shashamane,298296165,7.2010144,38.5953618
Ethiopia,ሐረር / Harar,298296166,9.3139294,42.1298392
Ethiopia,ደብረ ብርሃን / Debre Birhan,298296167,9.6752117,39.5324899
Ethiopia,ድሬዳዋ / Dire Dawa,298296168,9.5944718,41.85572
Ethiopia,ዲላ / Dilla,298296169,6.41,38.31
Ethiopia,ጎዴ / Gode,298296173,5.9526975,43.5522312
Ethiopia,ደብረ ማርቆስ / Debre Markos,298296174,10.340245,37.728967
Ethiopia,ኣኽሱም / Axum,298296175,14.122015,38.7305334
Ethiopia,ኮምቦልቻ / Kombolcha,298296176,11.0813583,39.7408732
Ethiopia,አዲግራት / Adigrat,298296178,14.2775432,39.4612757
Ethiopia,ቦሆትለ بووهودل‎‎,313978601,8.228125,46.325064
Ethiopia,አድዋ / Adwa,321250631,14.1646303,38.895478
Ethiopia,ጋምቤላ / Gambella,321376181,8.2467502,34.5875721
Ethiopia,አሶሳ / Assosa,321761901,10.0632302,34.5448075
Ethiopia,አሰላ / Asella,1150903283,7.95,39.13333
Ethiopia,ሀዋሳ / Hawassa,1394787650,7.0481029,38.47861
Ethiopia,ሮቤ / Robe,1800190312,7.1242676,40.0080973
Ethiopia,ጂማ / Jimma,2503575146,7.6741372,36.8392841
Kenya,Nairobi,27565105,-1.2832533,36.8172449
Kenya,Nakuru,44925073,-0.2833,36.0666
Kenya,Mombasa,44927060,-4.05052,39.667169
Kenya,Meru,44929227,0.0500034,37.6500063
Kenya,Malindi,44929687,-3.2165987,40.1165933
Kenya,Machakos,44930353,-1.5212477,37.2660878
Kenya,Kitui,44933078,-1.3666,38.0166
Kenya,Kitale,44933158,1.018076,35.000236
Kenya,Kisii,44989844,-0.6694119,34.7677944
Kenya,Kibwezi,44990389,-2.410343,37.965529
Kenya,Kericho,44992704,-0.3666,35.2833
Kenya,Kakamega,44999588,0.2833,34.75
Kenya,Garissa,45004027,-0.4567099,39.6404713
Kenya,Nyeri,413630468,-0.4192962,36.9517005
Kenya,Thika,1141424596,-1.036648,37.077523
Kenya,Dadaab,1762613339,0.0559176,40.3054193
