,osm_id,FID,country,city,osm_type,lat,lon,geometry,PopTot,aez_class
32,435516605,2441,South Sudan,Ezo,town,5.0857047,27.466719,"POLYGON ((27.474996 5.06102, 27.474996 5.043053, 27.466013 5.043053, 27.466013 5.052036, 27.45703 5.052036, 27.45703 5.096952, 27.474996 5.096952, 27.474996 5.070003, 27.48398 5.070003, 27.48398 5.06102, 27.474996 5.06102))",94542.0,Tropic - warm / subhumid
33,435797976,2434,South Sudan,Mambe,town,5.0242656,29.7129773,"POLYGON ((29.702829 5.03407, 29.720795 5.03407, 29.720795 5.016104, 29.702829 5.016104, 29.702829 5.03407))",24627.0,Tropic - warm / subhumid
34,1815729601,2339,South Sudan,Keyala,town,4.461821400000001,32.871817699999994,"POLYGON ((32.864914 4.477112, 32.873897 4.477112, 32.873897 4.459145, 32.864914 4.459145, 32.855931 4.459145, 32.855931 4.468129, 32.864914 4.468129, 32.864914 4.477112))",5012.0,Tropic - warm / subhumid
35,2093500289,2345,South Sudan,Camp 15,town,4.5169966,33.3229668,"POLYGON ((33.323057 4.531011, 33.323057 4.504061, 33.314074 4.504061, 33.305091 4.504061, 33.305091 4.513045, 33.314074 4.513045, 33.314074 4.531011, 33.323057 4.531011, 33.323057 4.539994, 33.33204 4.539994, 33.33204 4.548977, 33.341023 4.548977, 33.341023 4.557961, 33.350007 4.557961, 33.350007 4.566944, 33.367973 4.566944, 33.367973 4.557961, 33.35899 4.557961, 33.35899 4.548977, 33.350007 4.548977, 33.341023 4.548977, 33.341023 4.539994, 33.33204 4.539994, 33.33204 4.531011, 33.323057 4.531011))",23058.0,Tropic - warm / subhumid
36,2146403255,2520,South Sudan,???? Agok,town,9.3494096,28.5804778,"POLYGON ((28.57993 9.36397, 28.588913 9.36397, 28.588913 9.328037999999999, 28.57993 9.328037999999999, 28.570946 9.328037999999999, 28.570946 9.354986999999999, 28.57993 9.354986999999999, 28.57993 9.36397))",13183.0,Tropic - warm / semiarid
37,2146406951,2367,South Sudan,Tonga,town,9.472828,31.045723,"POLYGON ((31.023359 9.498718, 31.032342 9.498718, 31.032342 9.489735, 31.041325 9.489735, 31.041325 9.480752000000001, 31.050308 9.480752000000001, 31.050308 9.498718, 31.059292 9.498718, 31.059292 9.471769, 31.068275 9.471769, 31.068275 9.462785999999999, 31.059292 9.462785999999999, 31.041325 9.462785999999999, 31.041325 9.471769, 31.032342 9.471769, 31.032342 9.480752000000001, 31.014376 9.480752000000001, 31.014376 9.489735, 31.023359 9.489735, 31.023359 9.498718))",19458.0,Tropic - warm / semiarid
38,2146809997,2461,South Sudan,New Fangak,town,9.407322500000001,31.162239000000003,"POLYGON ((31.14014 9.417870000000001, 31.176073 9.417870000000001, 31.176073 9.399903, 31.14014 9.399903, 31.14014 9.417870000000001))",109042.0,Tropic - warm / semiarid
39,2147483647,1829,South Sudan,Kaka,town,10.5794573,32.150923399999996,"POLYGON ((32.137275 10.603652, 32.173208 10.603652, 32.173208 10.585685, 32.164225 10.585685, 32.164225 10.576702, 32.155242 10.576702, 32.155242 10.567719, 32.146258 10.567719, 32.137275 10.567719, 32.137275 10.558736, 32.128292 10.558736, 32.128292 10.549752, 32.119309 10.549752, 32.110326 10.549752, 32.110326 10.531786, 32.101342 10.531786, 32.101342 10.495853, 32.092359 10.495853, 32.092359 10.477887, 32.101342 10.477887, 32.101342 10.468904, 32.083376 10.468904, 32.083376 10.48687, 32.074393 10.48687, 32.074393 10.495853, 32.083376 10.495853, 32.083376 10.504836, 32.06541 10.504836, 32.06541 10.51382, 32.056426 10.51382, 32.056426 10.540769, 32.074393 10.540769, 32.074393 10.522803, 32.083376 10.522803, 32.083376 10.531786, 32.092359 10.531786, 32.092359 10.549752, 32.101342 10.549752, 32.110326 10.549752, 32.110326 10.558736, 32.119309 10.558736, 32.128292 10.558736, 32.128292 10.567719, 32.137275 10.567719, 32.137275 10.576702, 32.128292 10.576702, 32.128292 10.594668, 32.137275 10.594668, 32.137275 10.603652))",47498.0,Tropic - warm / semiarid
40,2147483647,2041,South Sudan,Kaya,town,3.5469668,30.8810739,"POLYGON ((30.897594 3.542859, 30.897594 3.533876, 30.870645 3.533876, 30.870645 3.560826, 30.879628 3.560826, 30.879628 3.551843, 30.888611 3.551843, 30.888611 3.560826, 30.897594 3.560826, 30.897594 3.569809, 30.879628 3.569809, 30.879628 3.578792, 30.870645 3.578792, 30.870645 3.587775, 30.888611 3.587775, 30.888611 3.578792, 30.897594 3.578792, 30.897594 3.569809, 30.906577 3.569809, 30.906577 3.560826, 30.897594 3.560826, 30.897594 3.551843, 30.906577 3.551843, 30.906577 3.542859, 30.897594 3.542859))",54029.0,Tropic - warm / humid
41,2147483647,2975,South Sudan,Turalei,town,9.090530000000001,28.4321749,"POLYGON ((28.418232 9.103458, 28.436198 9.103458, 28.436198 9.094474999999999, 28.445182 9.094474999999999, 28.445182 9.085490999999999, 28.463148 9.085490999999999, 28.463148 9.076508, 28.454165 9.076508, 28.427215 9.076508, 28.427215 9.067525, 28.418232 9.067525, 28.418232 9.103458))",59184.0,Tropic - warm / subhumid
42,2147483647,2767,South Sudan,Manteloch,town,6.815337599999999,33.1296587,"POLYGON ((33.116444 6.80376, 33.125427 6.80376, 33.125427 6.821726, 33.13441 6.821726, 33.13441 6.794776, 33.143393 6.794776, 33.143393 6.77681, 33.13441 6.77681, 33.13441 6.785793, 33.116444 6.785793, 33.116444 6.80376))",13944.0,Tropic - warm / subhumid
43,2147483647,3052,South Sudan,Old Fangak,town,9.066893400000001,30.8800267,"POLYGON ((30.879628 9.076508, 30.888611 9.076508, 30.888611 9.058541999999999, 30.879628 9.058541999999999, 30.870645 9.058541999999999, 30.870645 9.067525, 30.879628 9.067525, 30.879628 9.076508))",8345.0,Tropic - warm / semiarid
44,2147483647,2656,South Sudan,????? ????,town,9.272948300000001,24.4164673,"POLYGON ((24.411727 9.283122000000001, 24.42071 9.283122000000001, 24.42071 9.265155, 24.411727 9.265155, 24.411727 9.283122000000001))",5087.0,Tropic - warm / semiarid
45,2147483647,3864,South Sudan,,town,8.1315844,30.018144899999996,"POLYGON ((30.008258 8.124288999999999, 30.008258 8.115306, 29.990291 8.115306, 29.990291 8.124288999999999, 29.981308 8.124288999999999, 29.981308 8.115306, 29.963342 8.115306, 29.963342 8.124288999999999, 29.972325 8.124288999999999, 29.972325 8.133273000000001, 29.990291 8.133273000000001, 29.999275 8.133273000000001, 29.999275 8.142256, 30.017241 8.142256, 30.017241 8.133273000000001, 30.035207 8.133273000000001, 30.035207 8.124288999999999, 30.026224 8.124288999999999, 30.008258 8.124288999999999))",21173.0,Tropic - warm / subhumid
46,2147483647,3840,South Sudan,Koch,town,8.5931809,29.995550800000004,"POLYGON ((29.981308 8.618365000000001, 29.999275 8.618365000000001, 29.999275 8.609382, 29.990291 8.609382, 29.990291 8.600398999999999, 29.999275 8.600398999999999, 29.999275 8.582432000000001, 29.990291 8.582432000000001, 29.990291 8.591416000000001, 29.981308 8.591416000000001, 29.981308 8.618365000000001))",10258.0,Tropic - warm / semiarid
47,2147483647,4048,South Sudan,Mir Mir,town,8.4698416,30.101628,"POLYGON ((30.07114 8.474634, 30.107073 8.474634, 30.107073 8.456668000000001, 30.09809 8.456668000000001, 30.09809 8.465650999999999, 30.07114 8.465650999999999, 30.07114 8.456668000000001, 30.080123 8.456668000000001, 30.080123 8.447684000000001, 30.07114 8.447684000000001, 30.07114 8.429717999999999, 30.062157 8.429717999999999, 30.062157 8.465650999999999, 30.07114 8.465650999999999, 30.07114 8.474634))",14627.0,Tropic - warm / semiarid
48,2147483647,2510,South Sudan,Canal,town,9.365017199999999,31.5484834,"POLYGON ((31.535401 9.372954, 31.571334 9.372954, 31.571334 9.36397, 31.562351 9.36397, 31.562351 9.354986999999999, 31.571334 9.354986999999999, 31.571334 9.346004000000001, 31.553367 9.346004000000001, 31.553367 9.354986999999999, 31.544384 9.354986999999999, 31.544384 9.36397, 31.535401 9.36397, 31.535401 9.354986999999999, 31.526418 9.354986999999999, 31.526418 9.36397, 31.535401 9.36397, 31.535401 9.372954))",33603.0,Tropic - warm / semiarid
49,2147483647,2994,South Sudan,,town,9.0881776,29.452824,"POLYGON ((29.433333 9.094474999999999, 29.478249 9.094474999999999, 29.478249 9.085490999999999, 29.433333 9.085490999999999, 29.433333 9.094474999999999))",21356.0,Tropic - warm / semiarid
50,2147483647,3199,South Sudan,Nhialdiu,town,9.0230181,29.6761979,"POLYGON ((29.666896 9.031592, 29.684863 9.031592, 29.684863 9.013626, 29.666896 9.013626, 29.666896 9.031592))",6526.0,Tropic - warm / semiarid
51,2147483647,3597,South Sudan,Rier Market,town,8.7839173,30.0998957,"POLYGON ((30.09809 8.815996, 30.116056 8.815996, 30.116056 8.798029, 30.134022 8.798029, 30.134022 8.789046000000001, 30.143006 8.789046000000001, 30.143006 8.762096, 30.134022 8.762096, 30.134022 8.77108, 30.125039 8.77108, 30.125039 8.762096, 30.116056 8.762096, 30.116056 8.77108, 30.107073 8.77108, 30.107073 8.780063, 30.089106 8.780063, 30.089106 8.798029, 30.09809 8.798029, 30.09809 8.789046000000001, 30.107073 8.789046000000001, 30.107073 8.780063, 30.116056 8.780063, 30.125039 8.780063, 30.125039 8.789046000000001, 30.116056 8.789046000000001, 30.116056 8.798029, 30.107073 8.798029, 30.107073 8.807012, 30.09809 8.807012, 30.09809 8.815996))",38633.0,Tropic - warm / semiarid
52,2147483647,4043,South Sudan,Kuajok,town,8.3015804,27.980431099999997,"POLYGON ((27.987039 8.294969999999999, 27.987039 8.285987, 27.978055 8.285987, 27.969072 8.285987, 27.969072 8.277004, 27.978055 8.277004, 27.978055 8.259036999999999, 27.987039 8.259036999999999, 27.987039 8.250054, 27.969072 8.250054, 27.969072 8.268020999999999, 27.951106 8.268020999999999, 27.951106 8.277004, 27.942123 8.277004, 27.942123 8.285987, 27.951106 8.285987, 27.960089 8.285987, 27.960089 8.294969999999999, 27.951106 8.294969999999999, 27.951106 8.312937, 27.960089 8.312937, 27.960089 8.32192, 27.969072 8.32192, 27.969072 8.312937, 27.978055 8.312937, 27.978055 8.32192, 27.996022 8.32192, 27.996022 8.294969999999999, 27.987039 8.294969999999999))",138897.0,Tropic - warm / subhumid
53,2147483647,3363,South Sudan,Akuem,town,8.9532983,27.506503100000003,"POLYGON ((27.492963 8.96871, 27.510929 8.96871, 27.510929 8.959727000000001, 27.519912 8.959727000000001, 27.519912 8.950742999999999, 27.510929 8.950742999999999, 27.510929 8.94176, 27.48398 8.94176, 27.48398 8.950742999999999, 27.492963 8.950742999999999, 27.492963 8.96871))",103320.0,Tropic - warm / subhumid
54,2147483647,2733,South Sudan,Gok Machar,town,9.2177828,26.863801799999997,"POLYGON ((26.846173 9.238206, 26.855156 9.238206, 26.855156 9.229222999999999, 26.864139 9.229222999999999, 26.864139 9.238206, 26.873122 9.238206, 26.873122 9.229222999999999, 26.882106 9.229222999999999, 26.882106 9.220238999999999, 26.891089 9.220238999999999, 26.891089 9.211256000000001, 26.882106 9.211256000000001, 26.864139 9.211256000000001, 26.864139 9.202273, 26.855156 9.202273, 26.855156 9.211256000000001, 26.846173 9.211256000000001, 26.846173 9.220238999999999, 26.83719 9.220238999999999, 26.83719 9.229222999999999, 26.846173 9.229222999999999, 26.846173 9.238206))",31500.0,Tropic - warm / semiarid
55,2147483647,2992,South Sudan,Mankien,town,9.052407400000002,29.094241600000004,"POLYGON ((29.100955 9.094474999999999, 29.118921 9.094474999999999, 29.118921 9.085490999999999, 29.109938 9.085490999999999, 29.109938 9.076508, 29.100955 9.076508, 29.100955 9.058541999999999, 29.109938 9.058541999999999, 29.109938 9.040575, 29.100955 9.040575, 29.091972 9.040575, 29.091972 9.031592, 29.082989 9.031592, 29.082989 9.040575, 29.091972 9.040575, 29.091972 9.049559, 29.074005 9.049559, 29.074005 9.058541999999999, 29.082989 9.058541999999999, 29.082989 9.067525, 29.091972 9.067525, 29.091972 9.076508, 29.100955 9.076508, 29.100955 9.094474999999999))",34217.0,Tropic - warm / semiarid
56,2147483647,2533,South Sudan,Pariak,town,5.9716487,31.6610713,"POLYGON ((31.661166 5.995272, 31.661166 5.968322, 31.652183 5.968322, 31.652183 5.995272, 31.661166 5.995272, 31.661166 6.004255, 31.652183 6.004255, 31.652183 6.022222, 31.661166 6.022222, 31.661166 6.013238, 31.670149 6.013238, 31.670149 5.995272, 31.661166 5.995272))",13647.0,Tropic - warm / subhumid
57,2147483647,1881,South Sudan,Paloich,town,10.4583543,32.5466093,"POLYGON ((32.514569 10.495853, 32.523553 10.495853, 32.523553 10.48687, 32.532536 10.48687, 32.532536 10.477887, 32.550502 10.477887, 32.550502 10.468904, 32.559485 10.468904, 32.559485 10.441954, 32.550502 10.441954, 32.550502 10.450937, 32.541519 10.450937, 32.541519 10.441954, 32.505586 10.441954, 32.505586 10.45992, 32.514569 10.45992, 32.514569 10.468904, 32.523553 10.468904, 32.523553 10.48687, 32.514569 10.48687, 32.514569 10.495853))",21248.0,Tropic - warm / semiarid
58,2147483647,1622,South Sudan,Jalhak,town,11.0479413,32.6973283,"POLYGON ((32.694233 11.061795, 32.703217 11.061795, 32.703217 11.052811, 32.7122 11.052811, 32.7122 11.043828, 32.703217 11.043828, 32.68525 11.043828, 32.68525 11.052811, 32.694233 11.052811, 32.694233 11.061795))",3675.0,Tropic - warm / semiarid
