,FID,lat,lon
140,140,36.86937526562758,6.6110413281303915
141,141,-31.896249500000003,27.032915499999998
142,142,36.87458350000001,7.0120830000000005
143,143,-31.910416090004563,26.962082149997602
144,144,-32.68513838888445,26.089860277768892
145,145,-32.5879165,27.416249
146,146,-33.542280931972456,18.54660635374675
147,147,-33.5420825,18.4120825
148,148,36.8745835,11.107916000000001
149,149,-31.725416874970005,27.205832125007497
150,150,-32.076805499993334,28.328749333313333
151,151,-32.3254165,28.182915749985003
152,152,-32.1024995,18.314166
153,153,-31.892083,26.8454155
154,154,-31.70041675,27.232915250000005
155,155,-31.72541675,27.24958275
156,156,-31.67125016666333,18.49958216667333
157,157,-31.667083,27.203749000000002
158,158,36.845417,9.937082499999999
159,159,-31.601805499993333,18.745415666686668
160,160,-33.2858328749925,19.1433328749925
